image,tank_h,water_h
..\..\data\images\data_5_1_0016.jpg,tensor([724.9415]),tensor([684.8481])
..\..\data\images\data_5_1_0017.jpg,tensor([724.6931]),tensor([683.0660])
..\..\data\images\data_5_1_0018.jpg,tensor([724.6537]),tensor([698.6919])
..\..\data\images\data_5_1_0019.jpg,tensor([723.7654]),tensor([718.9155])
..\..\data\images\data_5_1_0020.jpg,tensor([723.3724]),tensor([714.4650])
..\..\data\images\data_5_1_0021.jpg,tensor([724.1412]),tensor([705.6358])
..\..\data\images\data_5_1_0022.jpg,tensor([724.6418]),tensor([695.2936])
..\..\data\images\data_5_1_0023.jpg,tensor([725.1039]),tensor([689.7660])
..\..\data\images\data_5_1_0024.jpg,tensor([725.0892]),tensor([682.0888])
..\..\data\images\data_5_1_0025.jpg,tensor([724.2858]),tensor([670.3768])
..\..\data\images\data_5_1_0026.jpg,tensor([724.0238]),tensor([661.1730])
..\..\data\images\data_5_1_0027.jpg,tensor([723.8677]),tensor([650.4097])
..\..\data\images\data_5_1_0028.jpg,tensor([723.3329]),tensor([642.5901])
..\..\data\images\data_5_1_0029.jpg,tensor([723.5042]),tensor([636.4849])
..\..\data\images\data_5_1_0030.jpg,tensor([723.6019]),tensor([621.2069])
..\..\data\images\data_5_1_0031.jpg,tensor([723.7771]),tensor([613.7492])
..\..\data\images\data_5_1_0032.jpg,tensor([723.9159]),tensor([607.7621])
..\..\data\images\data_5_1_0033.jpg,tensor([723.8489]),tensor([599.8543])
..\..\data\images\data_5_1_0034.jpg,tensor([724.0360]),tensor([594.5667])
..\..\data\images\data_5_1_0035.jpg,tensor([723.6959]),tensor([587.1099])
..\..\data\images\data_5_1_0036.jpg,tensor([723.4678]),tensor([578.6776])
..\..\data\images\data_5_1_0037.jpg,tensor([724.6447]),tensor([570.6508])
..\..\data\images\data_5_1_0038.jpg,tensor([724.8831]),tensor([561.6398])
..\..\data\images\data_5_1_0039.jpg,tensor([725.4438]),tensor([554.4690])
..\..\data\images\data_5_1_0040.jpg,tensor([726.0405]),tensor(0)
..\..\data\images\data_5_1_0041.jpg,tensor([725.8710]),tensor([532.9247])
..\..\data\images\data_5_1_0042.jpg,tensor([725.9232]),tensor([527.3828])
..\..\data\images\data_5_1_0043.jpg,tensor([725.6559]),tensor([517.9739])
..\..\data\images\data_5_1_0044.jpg,tensor([725.3361]),tensor([512.6941])
..\..\data\images\data_5_1_0045.jpg,tensor([724.7677]),tensor([505.8158])
..\..\data\images\data_5_1_0046.jpg,tensor([724.8133]),tensor([498.1597])
..\..\data\images\data_5_1_0047.jpg,tensor([725.7825]),tensor([493.9182])
..\..\data\images\data_5_1_0048.jpg,tensor([724.6866]),tensor([487.6363])
..\..\data\images\data_5_1_0049.jpg,tensor([724.4462]),tensor([479.1698])
..\..\data\images\data_5_1_0050.jpg,tensor([725.0082]),tensor([473.4184])
..\..\data\images\data_5_1_0051.jpg,tensor([725.4192]),tensor([466.6288])
..\..\data\images\data_5_1_0052.jpg,tensor([725.7823]),tensor([460.1333])
..\..\data\images\data_5_1_0053.jpg,tensor([726.2397]),tensor([447.0568])
..\..\data\images\data_5_1_0054.jpg,tensor([726.0597]),tensor([442.0912])
..\..\data\images\data_5_1_0055.jpg,tensor([726.3504]),tensor([435.4045])
..\..\data\images\data_5_1_0056.jpg,tensor([725.9163]),tensor([429.2585])
..\..\data\images\data_5_1_0057.jpg,tensor([726.2935]),tensor([421.5559])
..\..\data\images\data_5_1_0058.jpg,tensor([726.3785]),tensor([416.8281])
..\..\data\images\data_5_1_0059.jpg,tensor([726.5812]),tensor([409.9932])
..\..\data\images\data_5_1_0060.jpg,tensor([726.3610]),tensor([402.7631])
..\..\data\images\data_5_1_0061.jpg,tensor([726.9875]),tensor([396.9676])
..\..\data\images\data_5_1_0062.jpg,tensor([726.8776]),tensor([391.5342])
..\..\data\images\data_5_1_0063.jpg,tensor([726.2566]),tensor([386.1595])
..\..\data\images\data_5_1_0064.jpg,tensor([724.9363]),tensor([377.5505])
..\..\data\images\data_5_1_0065.jpg,tensor([726.5083]),tensor([373.6661])
..\..\data\images\data_5_1_0066.jpg,tensor([726.6230]),tensor([367.7699])
..\..\data\images\data_5_1_0067.jpg,tensor([726.4642]),tensor([362.2426])
..\..\data\images\data_5_1_0068.jpg,tensor([726.2767]),tensor([357.4110])
..\..\data\images\data_5_1_0069.jpg,tensor([725.8301]),tensor([350.0105])
..\..\data\images\data_5_1_0070.jpg,tensor([726.1110]),tensor([346.1649])
..\..\data\images\data_5_1_0071.jpg,tensor([725.4335]),tensor([337.9764])
..\..\data\images\data_5_1_0072.jpg,tensor([725.3329]),tensor([331.8379])
..\..\data\images\data_5_1_0073.jpg,tensor([725.6525]),tensor([326.4560])
..\..\data\images\data_5_1_0074.jpg,tensor([725.9512]),tensor([322.4848])
..\..\data\images\data_5_1_0075.jpg,tensor([726.5936]),tensor([317.6172])
..\..\data\images\data_5_1_0076.jpg,tensor([726.7969]),tensor([312.1386])
..\..\data\images\data_5_1_0077.jpg,tensor([727.0302]),tensor([306.7436])
..\..\data\images\data_5_1_0078.jpg,tensor([726.8546]),tensor([301.9730])
..\..\data\images\data_5_1_0079.jpg,tensor([727.3356]),tensor([298.6256])
..\..\data\images\data_5_1_0080.jpg,tensor([727.4297]),tensor([294.3789])
..\..\data\images\data_5_1_0081.jpg,tensor([727.0265]),tensor([288.3187])
..\..\data\images\data_5_1_0082.jpg,tensor([726.9680]),tensor([284.3211])
..\..\data\images\data_5_1_0083.jpg,tensor([726.2058]),tensor([278.0450])
..\..\data\images\data_5_1_0084.jpg,tensor([726.5539]),tensor([275.9155])
..\..\data\images\data_5_1_0085.jpg,tensor([726.2311]),tensor([271.6375])
..\..\data\images\data_5_1_0086.jpg,tensor([725.7023]),tensor([265.7519])
..\..\data\images\data_5_1_0087.jpg,tensor([725.7181]),tensor([260.1762])
..\..\data\images\data_5_1_0088.jpg,tensor([725.1584]),tensor([254.5784])
..\..\data\images\data_5_1_0089.jpg,tensor([725.5263]),tensor([247.9570])
..\..\data\images\data_5_1_0090.jpg,tensor([724.9243]),tensor([243.4938])
..\..\data\images\data_5_1_0091.jpg,tensor([724.1644]),tensor([241.4474])
..\..\data\images\data_5_1_0092.jpg,tensor([725.1911]),tensor([234.1334])
..\..\data\images\data_5_1_0093.jpg,tensor([723.7849]),tensor([233.5288])
..\..\data\images\data_5_1_0094.jpg,tensor([723.8340]),tensor([228.4557])
..\..\data\images\data_5_1_0095.jpg,tensor([724.6531]),tensor([225.4141])
..\..\data\images\data_5_1_0096.jpg,tensor([724.1855]),tensor([221.2764])
..\..\data\images\data_5_1_0097.jpg,tensor([724.4056]),tensor([218.0455])
..\..\data\images\data_5_1_0098.jpg,tensor([724.7306]),tensor([214.4115])
..\..\data\images\data_5_1_0099.jpg,tensor([724.9838]),tensor([209.0089])
..\..\data\images\data_5_1_0100.jpg,tensor([725.2604]),tensor([206.7610])
..\..\data\images\data_5_1_0101.jpg,tensor([725.2952]),tensor([203.0343])
..\..\data\images\data_5_1_0102.jpg,tensor([725.5417]),tensor([200.5715])
..\..\data\images\data_5_1_0103.jpg,tensor([725.2072]),tensor([197.6609])
..\..\data\images\data_5_1_0104.jpg,tensor([724.6346]),tensor([193.2009])
..\..\data\images\data_5_1_0105.jpg,tensor([725.1351]),tensor([190.5379])
..\..\data\images\data_5_1_0106.jpg,tensor([724.9682]),tensor([183.8032])
..\..\data\images\data_5_1_0107.jpg,tensor([724.4435]),tensor([179.4373])
..\..\data\images\data_5_1_0108.jpg,tensor([723.9269]),tensor([177.8954])
..\..\data\images\data_5_1_0109.jpg,tensor([723.8895]),tensor([176.3253])
..\..\data\images\data_5_1_0110.jpg,tensor([723.5969]),tensor([173.9945])
..\..\data\images\data_5_1_0111.jpg,tensor([723.3629]),tensor([170.8945])
..\..\data\images\data_5_1_0112.jpg,tensor([723.2330]),tensor([167.5546])
..\..\data\images\data_5_1_0113.jpg,tensor([722.9008]),tensor([165.1385])
..\..\data\images\data_5_1_0114.jpg,tensor([723.6354]),tensor([161.4048])
..\..\data\images\data_5_1_0115.jpg,tensor([723.6725]),tensor([157.3377])
..\..\data\images\data_5_1_0116.jpg,tensor([723.1707]),tensor([152.3837])
..\..\data\images\data_5_1_0117.jpg,tensor([723.0797]),tensor([156.5482])
..\..\data\images\data_5_1_0118.jpg,tensor([723.5853]),tensor([148.9461])
..\..\data\images\data_5_1_0119.jpg,tensor([723.7405]),tensor([146.9275])
..\..\data\images\data_5_1_0120.jpg,tensor([723.0643]),tensor([145.3047])
..\..\data\images\data_5_1_0121.jpg,tensor([727.0884]),tensor([141.4440])
..\..\data\images\data_5_1_0122.jpg,tensor([723.9946]),tensor([139.3215])
..\..\data\images\data_5_1_0123.jpg,tensor([723.1290]),tensor([136.1345])
..\..\data\images\data_5_1_0124.jpg,tensor([723.4358]),tensor([133.0643])
..\..\data\images\data_5_1_0125.jpg,tensor([722.9044]),tensor([133.4771])
..\..\data\images\data_5_1_0126.jpg,tensor([721.9711]),tensor([126.6948])
..\..\data\images\data_5_1_0127.jpg,tensor([722.2634]),tensor([123.7449])
..\..\data\images\data_5_1_0128.jpg,tensor([722.0996]),tensor([123.8894])
..\..\data\images\data_5_1_0129.jpg,tensor([721.4656]),tensor([121.0444])
..\..\data\images\data_5_1_0130.jpg,tensor([721.5983]),tensor([119.2972])
..\..\data\images\data_5_1_0131.jpg,tensor([721.4178]),tensor([118.0290])
..\..\data\images\data_5_1_0132.jpg,tensor([721.5720]),tensor([115.9491])
..\..\data\images\data_5_1_0133.jpg,tensor([721.7728]),tensor([114.1734])
..\..\data\images\data_5_1_0134.jpg,tensor([722.8768]),tensor([111.1677])
..\..\data\images\data_5_1_0135.jpg,tensor([722.4207]),tensor([108.3059])
..\..\data\images\data_5_1_0136.jpg,tensor([722.7104]),tensor([106.3103])
..\..\data\images\data_5_1_0137.jpg,tensor([722.7789]),tensor([105.3122])
..\..\data\images\data_5_1_0138.jpg,tensor([722.9251]),tensor([104.4816])
..\..\data\images\data_5_1_0139.jpg,tensor([723.1769]),tensor([100.4317])
..\..\data\images\data_5_1_0140.jpg,tensor([723.0793]),tensor([98.0130])
..\..\data\images\data_5_2_0001.jpg,tensor([406.5924]),tensor([402.3852])
..\..\data\images\data_5_2_0002.jpg,tensor([406.4331]),tensor([402.2747])
..\..\data\images\data_5_2_0003.jpg,tensor([406.3051]),tensor([402.4794])
..\..\data\images\data_5_2_0004.jpg,tensor([406.5904]),tensor([402.3781])
..\..\data\images\data_5_2_0005.jpg,tensor([406.3445]),tensor([402.3504])
..\..\data\images\data_5_2_0006.jpg,tensor([405.5820]),tensor([401.2723])
..\..\data\images\data_5_2_0007.jpg,tensor([405.2255]),tensor([396.6725])
..\..\data\images\data_5_2_0008.jpg,tensor([404.2787]),tensor([392.1981])
..\..\data\images\data_5_2_0009.jpg,tensor([404.4898]),tensor([387.9910])
..\..\data\images\data_5_2_0010.jpg,tensor([405.3788]),tensor([383.0266])
..\..\data\images\data_5_2_0011.jpg,tensor([406.1809]),tensor([379.9789])
..\..\data\images\data_5_2_0012.jpg,tensor([406.0253]),tensor([373.6327])
..\..\data\images\data_5_2_0013.jpg,tensor([405.9511]),tensor([368.7405])
..\..\data\images\data_5_2_0014.jpg,tensor([405.6326]),tensor([364.2090])
..\..\data\images\data_5_2_0015.jpg,tensor([406.1684]),tensor([359.4510])
..\..\data\images\data_5_2_0016.jpg,tensor([405.3151]),tensor([355.7208])
..\..\data\images\data_5_2_0017.jpg,tensor([404.7975]),tensor([349.8348])
..\..\data\images\data_5_2_0018.jpg,tensor([404.6718]),tensor([343.9814])
..\..\data\images\data_5_2_0019.jpg,tensor([404.3492]),tensor([339.4525])
..\..\data\images\data_5_2_0020.jpg,tensor([404.6272]),tensor([333.3003])
..\..\data\images\data_5_2_0021.jpg,tensor([405.0558]),tensor([330.3152])
..\..\data\images\data_5_2_0022.jpg,tensor([404.7249]),tensor([325.0504])
..\..\data\images\data_5_2_0023.jpg,tensor([404.5062]),tensor([321.3338])
..\..\data\images\data_5_2_0024.jpg,tensor([404.5799]),tensor([318.3697])
..\..\data\images\data_5_2_0025.jpg,tensor([404.5735]),tensor([313.2774])
